Date,Close,Volume,Open,High,Low
11/26/2024,600.65,45621290,598.8,601.33,598.07
11/25/2024,597.53,42441390,599.52,600.86,595.2
11/22/2024,595.51,38226390,593.66,596.15,593.1525
11/21/2024,593.67,46750290,593.4,595.12,587.45
11/20/2024,590.5,50032580,590.38,590.79,584.63
11/19/2024,590.3,49412050,584.71,591.045,584.03
11/18/2024,588.15,37084080,586.22,589.49,585.34
11/15/2024,585.75,75988770,589.72,590.2,583.86
11/14/2024,593.35,38904110,597.32,597.81,592.65
11/13/2024,597.19,47388640,597.37,599.23,594.96
11/12/2024,596.9,43006130,598.68,599.29,594.37
11/11/2024,598.76,37586770,599.81,600.17,597
11/8/2024,598.19,46444890,596.17,599.64,596.165
11/7/2024,595.61,47233210,593.08,596.65,592.9999
11/6/2024,591.04,68181970,589.2,591.93,585.39
11/5/2024,576.7,39478320,570.74,576.74,570.52
11/4/2024,569.81,38216980,571.18,572.5,567.89
11/1/2024,571.04,45667530,571.32,575.55,570.62
10/31/2024,568.64,60182450,575.56,575.63,568.44
10/30/2024,580.01,41435840,581.29,583.32,579.29
10/29/2024,581.77,42899660,579.85,582.907,578.43
10/28/2024,580.83,30174700,582.58,582.71,580.52
10/25/2024,579.04,47268180,581.51,584.46,578.08
10/24/2024,579.24,34979860,579.98,580.06,576.57
10/23/2024,577.99,49314570,581.26,581.7086,574.415
10/22/2024,583.32,34183840,581.05,584.5,580.38
10/21/2024,583.63,36439010,583.85,584.85,580.6001
10/18/2024,584.59,37416800,584.07,585.39,582.58
10/17/2024,582.35,34393710,585.91,586.12,582.16
10/16/2024,582.3,30725440,579.78,582.83,578.96
10/15/2024,579.78,54203640,584.59,584.9,578.545
10/14/2024,584.32,36217220,581.22,585.27,580.73
10/11/2024,579.58,42267990,576.05,580.33,575.91
10/10/2024,576.13,44138060,575.77,577.58,574.49
10/9/2024,577.14,37912240,573.16,577.71,572.55
10/8/2024,573.17,37398690,570.42,573.78,569.5299
10/7/2024,567.8,49964690,571.3,571.9599,566.63
10/4/2024,572.98,43005190,572.35,573.36,568.1
10/3/2024,567.82,40846470,567.36,569.8025,565.49
10/2/2024,568.86,38097800,567.71,569.9,565.27
10/1/2024,568.62,72668780,573.4,574.0622,566
9/30/2024,573.76,63655450,570.42,574.38,568.08
9/27/2024,571.47,42100930,573.39,574.22,570.42
9/26/2024,572.3,48336000,574.38,574.71,569.9
9/25/2024,570.04,38428590,571.14,571.89,568.91
9/24/2024,571.3,46805670,570.48,571.36,567.6
9/23/2024,569.67,44116920,569.34,570.3325,568.1
9/20/2024,568.25,77503110,567.84,569.31,565.17
9/19/2024,570.98,75315470,571.01,572.88,568.08
9/18/2024,561.4,59044940,563.74,568.69,560.83
9/17/2024,563.07,49320970,565.1,566.58,560.795
9/16/2024,562.84,36656120,561.74,563.11,559.9
9/13/2024,562.01,39310500,559.71,563.03,559.45
9/12/2024,559.09,51892740,555.01,559.4,552.74
9/11/2024,554.42,75248610,548.7,555.36,539.96
9/10/2024,548.79,36394580,548.36,549.15,543.38
9/9/2024,546.41,40445820,544.65,547.71,542.68
